file_id,section_text,section_type,parent_section_type,level,start,end,line_id,confidence,alias_source
16.txt,Đặc điểm triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,1171,1191,27,1.0,đặc điểm triệu chứng
16.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,1450,1472,33,1.0,đánh giá tại bệnh viện
16.txt,Dấu hiệu lâm sàng,CURRENT_SYMPTOMS,HOSPITAL_ASSESSMENT,2,1712,1729,38,1.0,dấu hiệu lâm sàng
16.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1916,1934,48,1.0,kết quả xét nghiệm
16.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,2018,2044,49,1.0,kết quả chẩn đoán hình ảnh
16.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,2127,2153,50,1.0,các thủ thuật đã thực hiện
16.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,2200,2228,53,1.0,các phát hiện chẩn đoán khác
17.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,3,24,1,1.0,tiền sử bệnh nội khoa
17.txt,Bệnh mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,25,38,2,1.0,bệnh mãn tính
17.txt,Bệnh sử hiện tại,CURRENT_HISTORY,,1,101,117,3,1.0,bệnh sử hiện tại
17.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,118,133,4,1.0,lý do nhập viện
17.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,168,199,5,1.0,thời điểm khởi phát triệu chứng
17.txt,Diễn biến bệnh,SYMPTOM_DETAIL,CURRENT_HISTORY,2,248,262,6,1.0,diễn biến bệnh
17.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,599,619,13,1.0,triệu chứng hiện tại
17.txt,Các biến trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,728,756,23,1.0,các biến trước khi nhập viện
17.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,1072,1094,31,1.0,đánh giá tại bệnh viện
17.txt,Kết quả khám lâm sàng,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,1095,1116,32,1.0,kết quả khám lâm sàng
17.txt,Kết quả xét nghiệm máu,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1352,1374,38,1.0,kết quả xét nghiệm máu
17.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1512,1538,47,1.0,kết quả chẩn đoán hình ảnh
17.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,1880,1906,50,1.0,các thủ thuật đã thực hiện
18.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
18.txt,Các bệnh mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,47,2,1.0,các bệnh mãn tính
18.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,113,134,3,1.0,tiền sử bệnh hiện tại
18.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,139,154,4,1.0,lý do nhập viện
18.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,219,250,5,1.0,thời điểm khởi phát triệu chứng
18.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,265,285,6,1.0,triệu chứng hiện tại
