canonical_key,canonical_name,category,default_specimen,aliases,external_source_notes
inh_tinh_igg_hp_bang_test_nhanh,Định tính IgG-HP bằng test nhanh,chemistry,blood,Định tính IgG-HP bằng test nhanh,lab_list_pdf#7:105
inh_tinh_igm_hav_bang_test_nhanh,Định tính IgM-HAV bằng test nhanh,chemistry,blood,Định tính IgM-HAV bằng test nhanh,lab_list_pdf#7:103
inh_tinh_igm_hev_bang_test_nhanh,Định tính IgM-HEV bằng test nhanh,chemistry,blood,Định tính IgM-HEV bằng test nhanh,lab_list_pdf#7:104
inh_tinh_marijuana_nieu,Định tính marijuana niệu,immunology,blood,Định tính marijuana niệu,lab_list_pdf#6:91
inh_tinh_methamphetamin,Định tính Methamphetamin,chemistry,blood,Định tính Methamphetamin,lab_list_pdf#6:92
inh_tinh_morphin_nieu,Định tính morphin niệu,chemistry,blood,Định tính morphin niệu,lab_list_pdf#6:89
inh_tinh_paraquat_nieu,Định tính paraquat niệu,chemistry,blood,Định tính paraquat niệu,lab_list_pdf#6:101
inh_tinh_protein_nieu,Định tính protein niệu,chemistry,blood,Định tính protein niệu,lab_list_pdf#6:98
inr,INR,coagulation,blood,INR,lab_seed_terms.csv
insulin,Insulin,endocrine,blood,Insulin,lab_med_ministry_pdf#4:98
isozym_ldh,Isozym - LDH,chemistry,blood,Isozym - LDH,lab_med_ministry_pdf#4:99
kali,Kali,chemistry,blood,k|kali,lab_seed_terms.csv
kappa,Kappa,chemistry,blood,Kappa,lab_med_ministry_pdf#4:101
kappa_tu_do,Kappa tự do,chemistry,blood,Free kappa|Kappa tự do|Kappa tự do (Free kappa),lab_med_ministry_pdf#4:102
khi_mau,Khí máu,blood_gas,blood,Khí máu|ABG,abbreviation.txt:ABG; lab_med_ministry_pdf#4:103
khi_mau_ong_mach,Khí máu động mạch,blood_gas,blood,Khí máu động mạch,lab_list_pdf#3:37
lactat,Lactat,chemistry,blood,lactate|Acid Lactic|Lactat|Lactat (Acid Lactic),lab_med_ministry_pdf#4:104; lab_seed_terms.csv
lambda,Lambda,chemistry,blood,Lambda,lab_med_ministry_pdf#4:105
lambda_tu_do,Lambda tự do,chemistry,blood,Free Lambda|Lambda tự do|Lambda tự do (Free Lambda),lab_med_ministry_pdf#4:106
ldh,LDH,chemistry,blood,LDH|LDH ( Lactat dehydrogenase)|Lactat dehydrogenase,both#4:111
ldl,LDL,chemistry,blood,LDL,lab_list_pdf#1:10
ldl_c,LDL - C,chemistry,blood,LDL - C|LDL - C (Low density lipoprotein Cholesterol),lab_med_ministry_pdf#4:112
ldl_hdl_cholesterol,LDL/HDL cholesterol,chemistry,blood,LDL/HDL cholesterol,lab_med_ministry_pdf#4:108
leptin_human,Leptin human,coagulation,blood,Leptin human,lab_med_ministry_pdf#4:107
lh,LH,endocrine,blood,LH|LH (Luteinizing hormone)|Luteinizing hormone,both#4:110
lipase,Lipase,chemistry,blood,Lipase,lab_med_ministry_pdf#4:109
lipase_mau,Lipase máu,chemistry,blood,Lipase máu,lab_list_pdf#2:24
lipoprotein,Lipoprotein,chemistry,blood,Lipoprotein,lab_med_ministry_pdf#5:113
lp_pla2,Lp-PLA2,chemistry,blood,Lp-PLA2|Lp-PLA2 (Lipoprotein Associated Phospholipase A2)|lp-pla2 (lipoprotein associated photpholipase a2),lab_med_ministry_pdf#5:114
lymphocyte,Lymphocyte %,hematology,blood,LYMPH%|LYPH%,lab_seed_terms.csv
magie,Magiê,chemistry,blood,Mg|magie,plan_section_9
malondialdehyd,Malondialdehyd,chemistry,blood,MDA|Malondialdehyd|Malondialdehyd (MDA),lab_med_ministry_pdf#5:115
