source_pdf,source_page,source_item,raw_name,normalized_name,canonical_key,canonical_name,category,specimen,official_name,local_name,notes
lab_list_pdf,7,103,Định tính IgM-HAV bằng test nhanh,Định tính IgM-HAV bằng test nhanh,inh_tinh_igm_hav_bang_test_nhanh,Định tính IgM-HAV bằng test nhanh,chemistry,blood,,Định tính IgM-HAV bằng test nhanh,
lab_list_pdf,7,104,Định tính IgM-HEV bằng test nhanh,Định tính IgM-HEV bằng test nhanh,inh_tinh_igm_hev_bang_test_nhanh,Định tính IgM-HEV bằng test nhanh,chemistry,blood,,Định tính IgM-HEV bằng test nhanh,
lab_list_pdf,6,91,Định tính marijuana niệu,Định tính marijuana niệu,inh_tinh_marijuana_nieu,Định tính marijuana niệu,immunology,blood,,Định tính marijuana niệu,
lab_list_pdf,6,92,Định tính Methamphetamin,Định tính Methamphetamin,inh_tinh_methamphetamin,Định tính Methamphetamin,chemistry,blood,,Định tính Methamphetamin,
lab_list_pdf,6,89,Định tính morphin niệu,Định tính morphin niệu,inh_tinh_morphin_nieu,Định tính morphin niệu,chemistry,blood,,Định tính morphin niệu,
lab_list_pdf,6,101,Định tính paraquat niệu,Định tính paraquat niệu,inh_tinh_paraquat_nieu,Định tính paraquat niệu,chemistry,blood,,Định tính paraquat niệu,
lab_list_pdf,6,98,Định tính protein niệu,Định tính protein niệu,inh_tinh_protein_nieu,Định tính protein niệu,chemistry,blood,,Định tính protein niệu,
lab_med_ministry_pdf,4,98,Định lượng Insulin,Insulin,insulin,Insulin,endocrine,blood,Insulin,,
lab_med_ministry_pdf,4,99,Điện di Isozym - LDH,Isozym - LDH,isozym_ldh,Isozym - LDH,chemistry,blood,Isozym - LDH,,
lab_med_ministry_pdf,4,101,Định lượng Kappa,Kappa,kappa,Kappa,chemistry,blood,Kappa,,
lab_med_ministry_pdf,4,102,Định lượng Kappa tự do (Free kappa),Kappa tự do (Free kappa),kappa_tu_do,Kappa tự do,chemistry,blood,Kappa tự do (Free kappa),,
lab_med_ministry_pdf,4,103,Xét nghiệm Khí máu,Khí máu,khi_mau,Khí máu,blood_gas,blood,Khí máu,,
lab_list_pdf,3,37,Khí máu động mạch,Khí máu động mạch,khi_mau_ong_mach,Khí máu động mạch,blood_gas,blood,,Khí máu động mạch,
lab_med_ministry_pdf,4,104,Định lượng Lactat (Acid Lactic),Lactat (Acid Lactic),lactat,Lactat,chemistry,blood,Lactat (Acid Lactic),,
lab_med_ministry_pdf,4,105,Định lượng Lambda,Lambda,lambda,Lambda,chemistry,blood,Lambda,,
lab_med_ministry_pdf,4,106,Định lượng Lambda tự do (Free Lambda),Lambda tự do (Free Lambda),lambda_tu_do,Lambda tự do,chemistry,blood,Lambda tự do (Free Lambda),,
both,4,111,Đo hoạt độ LDH ( Lactat dehydrogenase),LDH ( Lactat dehydrogenase),ldh,LDH,chemistry,blood,LDH ( Lactat dehydrogenase),LDH,lab_list_pdf#2:19; lab_med_ministry_pdf#4:111
lab_list_pdf,1,10,LDL,LDL,ldl,LDL,chemistry,blood,,LDL,
lab_med_ministry_pdf,4,112,Định lượng LDL - C (Low density lipoprotein Cholesterol),LDL - C (Low density lipoprotein Cholesterol),ldl_c,LDL - C,chemistry,blood,LDL - C (Low density lipoprotein Cholesterol),,
lab_med_ministry_pdf,4,108,Điện di LDL/HDL cholesterol,LDL/HDL cholesterol,ldl_hdl_cholesterol,LDL/HDL cholesterol,chemistry,blood,LDL/HDL cholesterol,,
lab_med_ministry_pdf,4,107,Định lượng Leptin human,Leptin human,leptin_human,Leptin human,coagulation,blood,Leptin human,,
both,4,110,Định lượng LH (Luteinizing hormone),LH (Luteinizing hormone),lh,LH,endocrine,blood,LH (Luteinizing hormone),LH,lab_list_pdf#4:67; lab_med_ministry_pdf#4:110
lab_med_ministry_pdf,4,109,Đo hoạt độ Lipase,Lipase,lipase,Lipase,chemistry,blood,Lipase,,
lab_list_pdf,2,24,Lipase máu,Lipase máu,lipase_mau,Lipase máu,chemistry,blood,,Lipase máu,
lab_med_ministry_pdf,5,113,Điện di Lipoprotein,Lipoprotein,lipoprotein,Lipoprotein,chemistry,blood,Lipoprotein,,
lab_med_ministry_pdf,5,114,Định lượng Lp-PLA2 (Lipoprotein Associated Phospholipase A2),Lp-PLA2 (Lipoprotein Associated Phospholipase A2),lp_pla2,Lp-PLA2,chemistry,blood,Lp-PLA2 (Lipoprotein Associated Phospholipase A2),,
manual_curation,0,,Magiê,Magiê,magie,Magiê,chemistry,blood,,,manual_curation (plan section 9)
lab_med_ministry_pdf,5,115,Định lượng Malondialdehyd (MDA),Malondialdehyd (MDA),malondialdehyd,Malondialdehyd,chemistry,blood,Malondialdehyd (MDA),,
manual_curation,0,,Máu lắng,Máu lắng,mau_lang,Máu lắng,hematology,blood,,,manual_curation (plan section 9)
manual_curation,0,,MCH,MCH,mch,MCH,hematology,blood,,,manual_curation (plan section 9)
manual_curation,0,,MCHC,MCHC,mchc,MCHC,hematology,blood,,,manual_curation (plan section 9)
manual_curation,0,,MCV,MCV,mcv,MCV,hematology,blood,,,manual_curation (plan section 9)
lab_med_ministry_pdf,5,118,Định lượng Mg,Mg,mg,Mg,chemistry,blood,Mg,,
lab_list_pdf,6,97,Microalbumin niệu,Microalbumin niệu,microalbumin_nieu,Microalbumin niệu,chemistry,blood,,Microalbumin niệu,
lab_med_ministry_pdf,5,116,Đo hoạt độ MPO,MPO,mpo,MPO,chemistry,blood,MPO,,
lab_list_pdf,9,25,Mycobacterium tuberculosis Real-time PCR,Mycobacterium tuberculosis Real-time PCR,mycobacterium_tuberculosis_real_time_pcr,Mycobacterium tuberculosis Real-time PCR,microbiology,blood,,Mycobacterium tuberculosis Real-time PCR,
lab_med_ministry_pdf,5,117,Định lượng Myoglobin,Myoglobin,myoglobin,Myoglobin,chemistry,blood,Myoglobin,,
lab_med_ministry_pdf,5,119,Định lượng N-MID Osteocalcin,N-MID Osteocalcin,n_mid_osteocalcin,N-MID Osteocalcin,chemistry,blood,N-MID Osteocalcin,,
manual_curation,0,,Natri,Natri,natri,Natri,chemistry,blood,,,manual_curation (plan section 9)
lab_list_pdf,2,21,NH máu 3,NH máu 3,nh_mau_3,NH máu 3,chemistry,blood,,NH máu 3,
both,5,120,Định lượng NSE (Neuron Specific Enolase),NSE (Neuron Specific Enolase),nse,NSE,tumor_marker,blood,NSE (Neuron Specific Enolase),NSE,lab_list_pdf#3:52; lab_med_ministry_pdf#5:120
lab_med_ministry_pdf,5,121,Định lượng NT-proBNP,NT-proBNP,nt_probnp,NT-proBNP,chemistry,blood,NT-proBNP,,
lab_list_pdf,5,86,NUMA,NUMA,numa,NUMA,chemistry,blood,,NUMA,
lab_list_pdf,9,31,Đơn bào đường ruột nhuộm soi,Đơn bào đường ruột nhuộm soi,on_bao_uong_ruot_nhuom_soi,Đơn bào đường ruột nhuộm soi,microbiology,blood,,Đơn bào đường ruột nhuộm soi,
lab_list_pdf,9,30,Đơn bào đường ruột soi tươi,Đơn bào đường ruột soi tươi,on_bao_uong_ruot_soi_tuoi,Đơn bào đường ruột soi tươi,chemistry,blood,,Đơn bào đường ruột soi tươi,
lab_med_ministry_pdf,5,122,Đo hoạt độ P-Amylase,P-Amylase,p_amylase,P-Amylase,chemistry,blood,P-Amylase,,
lab_med_ministry_pdf,5,123,Định lượng PAPP-A,PAPP-A,papp_a,PAPP-A,chemistry,blood,PAPP-A,,
lab_list_pdf,4,59,PCT,PCT,pct,PCT,immunology,blood,,PCT,
lab_med_ministry_pdf,5,124,Định lượng Pepsinogen I,Pepsinogen I,pepsinogen_i,Pepsinogen I,chemistry,blood,Pepsinogen I,,
lab_med_ministry_pdf,5,125,Định lượng Pepsinogen II,Pepsinogen II,pepsinogen_ii,Pepsinogen II,chemistry,blood,Pepsinogen II,,
manual_curation,0,,pH,pH,ph,pH,blood_gas,blood,,,manual_curation (plan section 9)
lab_list_pdf,6,100,Phản ứng pandy,Phản ứng pandy,phan_ung_pandy,Phản ứng pandy,chemistry,blood,,Phản ứng pandy,
lab_list_pdf,6,99,Phản ứng rivalta,Phản ứng rivalta,phan_ung_rivalta,Phản ứng rivalta,chemistry,blood,,Phản ứng rivalta,
lab_med_ministry_pdf,5,126,Định lượng Phenobarbital,Phenobarbital,phenobarbital,Phenobarbital,chemistry,blood,Phenobarbital,,
